PIVlab, ASCII chart output - 05-Dec-2023
FRAME: 13032, filenames: A: 013031_013031.png & B: 013032_013031.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px]	y [px]	u [px/frame]	v [px/frame]	Vector type [-]
9	9	-3.105266571	-1.500005245	2
9	17	-3.176062822	-1.870074153	2
9	25	-3.405754566	-2.744419575	1
9	33	-3.001332045	-1.921129704	2
9	41	-2.504314661	-1.438139915	2
9	49	-1.31309998	-1.150404215	2
9	57	-1.390478253	-2.072522163	2
9	65	-3.042682648	-4.566966057	1
9	73	-2.641766071	-4.061691284	1
9	81	-2.492488146	-1.399551392	1
9	89	-2.46471405	-0.2842690945	1
9	97	-2.483513355	-1.383739352	1
9	105	-2.538549662	-2.250483274	1
9	113	-2.573997974	-1.997276187	1
9	121	-2.49242568	-1.421079397	1
9	129	-2.350241423	-1.053808451	1
9	137	-2.350510597	-1.075056791	1
9	145	-2.489450216	-1.341227651	1
9	153	-2.557233334	-1.432775378	1
9	161	-2.509125233	-1.66433239	1
9	169	-2.476147175	-3.016551256	1
9	177	-2.628530979	-4.626435757	1
9	185	-3.137300014	-3.890777588	1
9	193	-3.465487957	-1.251457572	1
9	201	-2.452404737	-0.1483883858	1
9	209	-0.8762178421	-1.198982477	1
9	217	-1.352042198	-2.133354664	1
9	225	-0.6567646265	-2.92253089	2
9	233	-0.1033796445	-2.20443821	2
9	241	-0.2737056315	-2.199814796	2
9	249	-1.576213837	-2.080993176	1
9	257	-1.716470957	-1.509284973	1
9	265	-2.350135088	-1.446799755	1
9	273	-2.981268406	-1.933851242	1
9	281	-3.438261032	-2.239115477	1
9	289	-3.662703037	-2.153407574	1
9	297	-3.697360277	-2.018719196	1
9	305	-1.02580452	-1.52773881	2
9	313	-0.1103758886	-1.325371861	2
9	321	-0.07950659841	-1.530860543	2
9	329	-0.8841596842	-1.93685472	2
9	337	-3.357795715	-3.069420815	1
9	345	-3.40272212	-2.953140259	1
9	353	-3.455134153	-2.839524269	1
9	361	-2.975459099	-2.570546627	1
9	369	-2.24311614	-2.186122179	1
9	377	-2.330263615	-1.925809503	1
9	385	0.1321991086	-1.989376307	1
9	393	-0.9433743358	-3.875257969	1
9	401	0.2920852602	-1.862418532	2
9	409	0.8974496126	-2.020245552	1
9	417	3.754007816	-0.2999623418	1
9	425	4.564296246	0.5724019408	1
9	433	5.224123001	1.257982969	1
9	441	4.515452862	0.7827169895	1
9	449	3.322469711	-2.43875885	1
9	457	2.169250488	-2.142840147	1
9	465	0.7821542025	-3.446691275	1
9	473	0.1842882633	-0.0601016283	1
9	481	0.804061234	-0.1206201017	1
9	489	2.599834919	-3.090802431	1
9	497	2.784240246	1.021412969	1
9	505	3.319447517	1.538475037	1
9	513	1.565377712	1.20436883	1
9	521	1.322812557	0.8873734474	1
9	529	2.41335535	2.475022316	1
9	537	2.641655445	2.204807758	1
9	545	2.133130074	-0.9504380226	1
9	553	1.320367575	-2.599692822	1
9	561	0.4980449677	-2.422878265	1
9	569	0.5581015348	0.8686684966	1
9	577	0.7790257931	0.4896919727	1
9	585	0.9087840319	1.67425704	1
9	593	0.7289794087	1.475389242	1
9	601	0.8260900974	2.485985518	1
9	609	1.166993737	3.682110548	1
9	617	1.0825212	3.62375021	1
9	625	1.01641643	3.238781214	1
9	633	0.9480266571	3.308930874	1
9	641	0.7487113476	2.15414238	1
9	649	0.9956753254	2.023359776	1
9	657	1.179844141	1.18541491	1
9	665	1.019991875	1.669010162	1
9	673	1.058512449	2.752240419	1
9	681	1.231623888	3.587800026	1
9	689	0.7813023329	3.193963528	1
9	697	0.6949467659	2.579904079	1
9	705	0.9855036736	3.641635895	1
9	713	1.295090437	3.599470139	1
9	721	1.225066185	4.760352135	1
9	729	1.021454334	6.113567829	1
9	737	1.058557987	5.524650097	1
9	745	1.043184757	5.254550934	1
9	753	0.9870584011	4.691279888	1
9	761	0.6777095795	3.23175025	1
9	769	0.7107664347	5.968164444	1
9	777	1.006090879	3.137662411	1
9	785	0.9506376982	3.993088722	1
9	793	0.9405401349	4.283863068	1
9	801	1.020252943	4.658807755	1
9	809	0.8855820894	4.565335274	1
9	817	0.7063674927	4.910836697	1
9	825	0.9576200247	4.823352337	1
9	833	1.534029484	4.667030334	1
9	841	1.532559872	7.879947186	1
9	849	1.129712105	5.833735466	1
9	857	1.257261753	6.426665306	1
9	865	1.144398451	5.816615582	1
9	873	0.3570857048	6.525289059	1
9	881	-0.5137885809	7.673389435	1
9	889	-0.1450628936	8.62495327	1
9	897	1.80484271	7.252078056	1
9	905	1.427859068	11.48241711	1
9	913	0.8651537895	11.26660728	1
9	921	0.8595490456	11.06002045	1
9	929	2.088586807	11.30636787	1
9	937	3.56345129	10.15626431	1
9	945	4.787129402	10.15010929	2
9	953	8.400648117	9.296670914	1
9	961	5.422535896	12.99978352	1
9	969	5.839239597	11.4946537	1
9	977	6.242852688	11.47108936	1
9	985	6.752894402	9.502261162	1
9	993	7.083907604	9.017769814	2
9	1001	14.99480629	9.003362656	1
9	1009	14.96434116	9.311998367	1
9	1017	6.068826199	8.933303833	2
9	1025	1.986406803	8.537835121	1
9	1033	0.616631031	10.55217552	1
9	1041	1.22439456	10.39798927	1
9	1049	1.286051273	10.12084579	1
9	1057	2.418801785	9.996212006	2
9	1065	5.573010445	9.598413467	2
9	1073	12.60655022	9.209764481	1
9	1081	10.13540363	7.707273006	2
9	1089	15.1254549	6.444709778	1
9	1097	8.126589775	4.916572571	2
9	1105	5.446665764	3.329939127	2
9	1113	3.247294903	2.192661285	2
9	1121	4.589250565	1.398538113	1
9	1129	2.341843128	3.63473177	1
9	1137	0.5285475254	-0.3285046816	1
9	1145	0.799788475	-0.1538404226	1
9	1153	2.114039898	2.891870022	1
9	1161	0.655801475	2.278380394	2
9	1169	3.143073559	1.912775397	2
9	1177	7.385169029	1.623880267	2
9	1185	15.00851059	1.398805857	1
9	1193	6.861018181	3.325585842	2
9	1201	3.998230457	4.863227844	1
9	1209	-2.696024895	4.398885727	1
9	1217	-5.35931015	2.265348911	2
9	1225	-6.628629684	0.337315321	1
9	1233	-6.623551369	1.063846827	1
9	1241	-6.518912315	1.083483934	1
9	1249	-6.534388542	1.52422893	2
9	1257	-6.457304001	1.863098145	2
9	1265	-5.770957947	2.413412333	1
9	1273	-4.997077465	3.985341549	1
9	1281	-6.080083847	0.7051613331	1
9	1289	-5.261369705	1.84946394	1
9	1297	-1.827091694	2.291940451	1
9	1305	-0.8623952866	3.805738926	1
9	1313	-0.9899306297	3.538782358	1
9	1321	1.029412985	2.767643452	1
9	1329	1.653892875	-0.2974731922	2
9	1337	1.830046654	-1.088728428	1
9	1345	1.111878395	0.02712894976	1
9	1353	0.8700814247	-0.526270628	1
9	1361	0.8358206749	-0.1022750735	1
9	1369	1.005743265	-0.8774369955	1
9	1377	0.8516007066	-0.458378464	2
9	1385	1.030395985	-0.0425272584	1
9	1393	1.262649298	-0.8856556416	1
9	1401	1.174752235	-0.8279972076	1
9	1409	1.163650751	-0.5445737243	1
9	1417	0.9623743296	0.0137023218	1
9	1425	0.9332176447	0.9040019512	1
9	1433	0.917894125	0.6495615244	1
9	1441	1.005792022	0.6418031454	1
9	1449	1.182803154	0.3259158731	1
9	1457	1.269992828	0.5752256513	1
9	1465	1.190253854	1.111038804	1
9	1473	0.9046203494	3.373697519	1
9	1481	0.7461929321	4.825318336	1
9	1489	0.8130407333	5.456072807	1
9	1497	0.6936777234	2.163414478	1
9	1505	0.4874554276	-0.4782136679	1
9	1513	0.7594674826	-1.822465658	1
9	1521	1.347408772	-1.153999805	1
9	1529	1.484765291	1.659947634	1
9	1537	0.9719511271	0.2204376459	1
9	1545	0.7465891242	2.193292141	1
9	1553	1.035685062	3.604032516	1
9	1561	1.117455006	3.819676399	1
9	1569	0.8587663174	3.100558281	1
9	1577	0.7322381735	2.112224579	1
9	1585	0.8973762393	0.4084368944	2
9	1593	1.027341723	0.7395150065	2
9	1601	1.273446679	1.5406394	1
9	1609	0.995485425	0.5364615917	2
9	1617	0.8209783435	0.1921236366	2
9	1625	0.6401560903	0.1471388787	2
9	1633	0.2936657667	0.1086606756	2
9	1641	-0.6177539229	0.04474361241	2
9	1649	-2.986112118	-0.6682355404	1
9	1657	-2.730097532	0.2606606483	1
9	1665	-2.276394844	-1.007469654	1
9	1673	-2.177475691	-0.1775983572	1
9	1681	-1.418664336	-0.3587962091	2
9	1689	-2.950630665	-1.074276805	1
9	1697	-3.317818642	-1.04246366	1
9	1705	-3.75080514	-1.159811974	1
9	1713	-1.347946882	0.02002219483	2
9	1721	-0.8881940246	0.3772256374	2
9	1729	-1.874685526	0.4392983019	2
9	1737	-5.34139204	0.2285873443	1
9	1745	-3.854384422	-1.263979197	1
9	1753	-3.921708107	-1.330250263	1
9	1761	-1.199022532	0.1299847215	2
9	1769	-0.1485121697	0.1950909644	2
9	1777	0.3207554817	0.02563532628	2
9	1785	0.538854599	-0.2907357216	2
9	1793	0.619430244	-0.8001531959	2
9	1801	0.6064708829	-1.605802536	2
9	1809	0.5419453979	-2.548376799	2
9	1817	0.5519911051	-2.593369961	2
9	1825	0.6406164169	-1.734169483	2
9	1833	0.6935402751	-1.067520738	2
9	1841	0.68656528	-0.6894652247	2
9	1849	0.6165180206	-0.5357095003	2
9	1857	0.4617135525	-0.551674664	2
9	1865	0.1718240976	-0.747484982	2
9	1873	-0.3397223055	-1.158696055	2
9	1881	-1.246496439	-1.726907492	2
9	1889	-3.275655985	-2.101360321	1
9	1897	-2.095975161	-2.554622889	2
9	1905	-3.363026857	-1.718990922	1
9	1913	-3.201716185	-1.549796939	1
9	1921	-3.040558815	-1.450896382	1
9	1929	-2.008307457	-0.7969257832	2
9	1937	-3.289048433	-1.042945504	1
9	1945	-1.632141709	-0.3909874558	2
9	1953	-1.725377798	-0.3725944459	2
9	1961	-3.632196903	-0.9975714684	1
9	1969	-3.419007063	-1.239503145	2
9	1977	-3.300692081	-1.355763674	2
9	1985	-3.212526083	-1.418897152	2
9	1993	-3.179044247	-1.416422963	1
9	2001	-3.097902775	-1.435157418	1
9	2009	-3.055396557	-1.451713562	1
9	2017	-3.03932786	-1.462822914	1
9	2025	-3.08217144	-1.372895122	1
9	2033	-3.218344688	-1.082325935	1
9	2041	-3.206205368	-1.173094869	2
9	2049	-3.237536669	-1.139428139	2
17	9	-3.03447032	-1.129936337	2
17	17	-3.01716733	-1.36579752	2
17	25	-3.030234337	-1.623759508	1
17	33	-3.093926907	-1.580829501	1
17	41	-3.198512077	-1.242885828	1
17	49	-0.04450690746	0.05944928527	1
17	57	0.1843476892	-0.5001960397	1
17	65	0.447609067	-1.358774543	1
17	73	0.5324147344	-0.8692922592	1
17	81	0.4895322323	-3.564341784	1
17	89	0.4789622426	-3.061988354	1
17	97	0.4879319072	-3.353125334	1
17	105	0.484824419	-3.561930895	1
17	113	0.4722680449	-3.421233892	1
17	121	0.4723734856	-3.313309908	1
17	129	0.4823123813	-3.393450975	1
17	137	0.47954458	-3.562758684	1
17	145	0.4658986926	-3.74605155	1
17	153	0.4669447541	-3.906680822	1
17	161	0.4835802317	-4.094539642	1
17	169	0.4939365387	-4.432993889	1
17	177	0.4822883606	-4.783370018	1
17	185	0.4285338521	-4.760555267	1
17	193	0.3867886066	-4.411788464	1
17	201	0.5024216771	-4.211963654	1
17	209	0.6968848705	-4.281538963	1
17	217	0.633723855	-4.375765324	1
17	225	-0.5148720741	-4.429800034	1
17	233	0.620331347	-1.490968585	1
17	241	0.8584765792	-2.314013243	1
17	249	1.110153675	-1.463692069	1
17	257	1.105162621	-1.321819186	1
17	265	0.9923720956	-1.343856454	1
17	273	0.8621681929	-1.340911865	1
17	281	0.7660247087	-1.475739598	1
17	289	0.7238779664	-1.323864698	1
17	297	0.7098355293	-1.340214729	1
17	305	0.7303227782	-1.239125252	1
17	313	0.7741833925	-0.9175161719	1
17	321	0.7560157776	-1.330355167	1
17	329	0.7848232388	-1.210282922	1
17	337	0.773314774	-1.224234581	1
17	345	0.7827123404	-1.096772432	1
17	353	0.8393640518	-0.6390349865	1
17	361	0.83170259	-0.9414735436	1
17	369	0.9162618518	-0.7139407396	1
17	377	0.9712867141	-0.5718663931	1
17	385	0.9070590138	-1.707801461	1
17	393	0.922152698	-1.273660421	1
17	401	0.9221805334	0.3082478642	1
17	409	0.7687491775	-0.6137113571	1
17	417	0.404463768	0.063796103	1
17	425	-1.334559441	0.4647589922	1
17	433	-1.711943865	0.3273872733	1
17	441	-1.857689381	-0.02760633826	1
17	449	-1.758883834	-0.03304600716	1
17	457	0.1143414974	-1.720035791	1
17	465	0.7446258068	-0.4590057135	1
17	473	0.9816244245	0.2034340799	1
17	481	0.8927455544	-0.3380619884	1
17	489	-1.087248683	-0.6813676953	1
17	497	-1.322554946	0.2109906673	1
17	505	-1.059076071	1.276081085	1
17	513	-1.159676552	1.095857143	1
17	521	-0.89919734	1.212483525	1
17	529	0.1063857079	1.268634319	1
17	537	0.2448310852	1.223789215	1
17	545	-0.4166381359	0.8027279377	1
17	553	-0.09812855721	-2.399231911	1
17	561	0.6681498289	-1.731357336	1
17	569	1.196818352	1.15941751	1
17	577	1.187827706	1.531504631	1
17	585	1.047885776	3.034705639	1
17	593	0.5843904614	2.360376596	1
17	601	0.06371080875	3.151359797	1
17	609	0.7315855026	3.801633596	1
17	617	0.7870767117	3.748396158	1
