PIVlab, ASCII chart output - 05-Dec-2023
FRAME: 13035, filenames: A: 013034_013034.png & B: 013035_013034.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px]	y [px]	u [px/frame]	v [px/frame]	Vector type [-]
9	9	-2.930998325	-0.988019526	2
9	17	-2.963353634	-1.075498581	2
9	25	-2.809699297	-1.33447361	2
9	33	-2.42479372	-1.257811069	2
9	41	-1.364394307	-0.8233913183	2
9	49	-0.617174983	-0.6302682757	2
9	57	-0.4358173311	-1.111831784	2
9	65	-0.8721871376	-2.190306902	2
9	73	-2.631708145	-4.083756447	1
9	81	-2.488837719	-1.435654879	1
9	89	-2.467977285	-0.3100755215	1
9	97	-2.496381998	-1.369979382	1
9	105	-2.579928637	-2.185899258	1
9	113	-2.624873638	-1.929883718	1
9	121	-2.449600697	-1.478145123	1
9	129	-2.221313	-0.9753786325	1
9	137	-2.430960655	0.1891894341	1
9	145	-2.904907227	1.473085403	1
9	153	-2.835385561	1.233573437	1
9	161	-2.438792706	-0.197971344	1
9	169	-0.6917058229	-2.519092083	2
9	177	-0.08369685709	-3.365030766	2
9	185	0.1398603767	-3.645009995	2
9	193	0.2970254123	-3.643014193	2
9	201	0.4878787398	-3.211491823	2
9	209	0.6276893616	-1.744881868	1
9	217	1.488786697	-2.4261868	1
9	225	0.005967617035	-2.358531713	1
9	233	-1.677044868	-2.132875443	1
9	241	-2.480394602	-1.962177634	1
9	249	-2.505023956	-1.665008545	1
9	257	-2.122169018	-1.378044605	1
9	265	-1.903465986	-1.549128175	1
9	273	-1.993793726	-2.072006702	1
9	281	-2.11020875	-2.297168732	1
9	289	-2.14567852	-2.13534832	1
9	297	-2.187043428	-2.068562508	1
9	305	-2.306442976	-2.289367914	1
9	313	-2.54739666	-2.673770428	1
9	321	-2.827148438	-3.045984745	1
9	329	-2.946919441	-3.199717522	1
9	337	-2.915121555	-3.101603985	1
9	345	-2.94020772	-2.899449587	1
9	353	-2.9501791	-2.900046349	1
9	361	-2.610005379	-3.524918079	1
9	369	-2.18536973	-4.358852386	1
9	377	-2.506695747	-4.196223259	1
9	385	0.1860730052	-1.996567965	1
9	393	0.2160881758	-0.638068378	1
9	401	0.8307800293	-3.54854393	1
9	409	1.868905783	-1.653601527	1
9	417	1.908408642	-1.497265339	1
9	425	1.431447864	-0.5525274277	1
9	433	1.074158192	-1.210935712	1
9	441	2.365116835	1.410245657	1
9	449	4.619795799	1.474896312	1
9	457	4.444087029	2.527303219	1
9	465	2.80899477	0.8619480729	1
9	473	1.35308969	0.6351424456	2
9	481	0.7276334167	0.5381823778	2
9	489	-0.07800430059	0.7758409977	1
9	497	1.306510925	2.432257175	1
9	505	1.826632977	1.188206553	1
9	513	1.428371668	0.926183641	1
9	521	1.164741039	0.2548328638	1
9	529	1.079646587	0.98498106	1
9	537	1.093098044	1.572602987	1
9	545	1.142552257	0.9660395384	1
9	553	1.018131256	-0.5053812861	1
9	561	0.986418128	-2.236456394	1
9	569	1.072420597	0.7631801367	1
9	577	1.170710564	1.079784632	1
9	585	0.997800827	1.020637751	1
9	593	0.7177348137	0.5230693817	1
9	601	0.8445155621	1.517790198	1
9	609	1.180636644	1.680487156	1
9	617	1.202581882	2.207949638	1
9	625	1.180324078	3.111077785	1
9	633	0.9415211678	2.625400305	1
9	641	0.9789083004	1.087346077	1
9	649	1.05625391	1.204793692	1
9	657	1.025969505	1.154563546	1
9	665	0.9111051559	1.350558281	1
9	673	0.8789699078	1.180933833	1
9	681	1.060503483	1.213610172	1
9	689	1.089630604	1.23737812	1
9	697	0.9501389861	1.050547719	2
9	705	0.7681176662	0.5802354813	1
9	713	0.9076704979	0.8621013165	1
9	721	1.310464382	-0.3074593544	1
9	729	1.050706863	1.262004495	1
9	737	0.5691575408	5.413739681	1
9	745	1.624189377	6.750398636	1
9	753	1.154980659	5.177082062	1
9	761	1.309658527	2.778831959	1
9	769	1.245804429	3.010330677	2
9	777	0.9033036232	2.419927359	1
9	785	0.7196063995	0.9983644485	1
9	793	1.005045652	1.763639212	1
9	801	1.34444952	2.328432798	1
9	809	1.269175529	3.299684525	1
9	817	1.208768845	4.437131882	1
9	825	0.9785854816	4.40926075	1
9	833	1.00249362	3.930803776	1
9	841	1.269211769	3.731237888	1
9	849	1.482257366	3.600352049	1
9	857	2.623136759	4.519687653	1
9	865	0.8242420554	4.523272038	1
9	873	1.022645831	6.013602734	2
9	881	0.3862937391	4.435760498	1
9	889	1.022204638	2.98661375	1
9	897	1.521052718	1.284458995	2
9	905	1.047083616	2.099973917	1
9	913	1.00527668	3.640301704	1
9	921	1.057163239	5.907364845	1
9	929	1.114470482	8.270301819	1
9	937	1.245395184	9.86643219	1
9	945	2.06615591	10.55484962	1
9	953	2.262827396	10.26443768	2
9	961	2.604925632	10.30458641	2
9	969	3.289025784	10.66614914	1
9	977	3.719266891	8.913324356	1
9	985	4.679169655	7.985777855	1
9	993	5.698827267	8.767906189	1
9	1001	6.291733742	7.944579124	2
9	1009	12.68799114	5.992839813	1
9	1017	7.990144253	6.471636295	2
9	1025	7.448826313	6.66160059	1
9	1033	7.717542648	6.083915234	1
9	1041	4.984717369	6.735086441	2
9	1049	4.494137764	6.993234158	2
9	1057	5.892648697	6.211061478	1
9	1065	6.905588627	5.267903805	1
9	1073	4.34270668	6.172196388	2
9	1081	5.546545982	6.485983372	2
9	1089	10.6417799	6.05565691	1
9	1097	10.55699921	5.155709743	1
9	1105	11.94003868	1.870173931	1
9	1113	11.26473331	2.36817503	1
9	1121	11.43721867	1.757296801	1
9	1129	12.61034298	1.231396675	1
9	1137	7.675253868	0.7900652885	2
9	1145	4.965544224	0.507579267	2
9	1153	3.105372429	0.4322985411	1
9	1161	-0.5865037441	0.7159128189	1
9	1169	3.314715385	2.334052086	1
9	1177	5.117307663	2.684072256	2
9	1185	8.512518883	4.247650623	2
9	1193	17.64661217	7.671827316	1
9	1201	12.86028481	5.167120457	2
9	1209	20.33601761	4.194181442	1
9	1217	18.74212646	2.311325073	1
9	1225	13.01688671	1.950819731	2
9	1233	16.28351593	2.237450361	1
9	1241	8.780906677	2.849429607	2
9	1249	6.156668186	3.69468236	2
9	1257	5.955412388	3.444437504	1
9	1265	2.258868694	4.600476742	1
9	1273	0.0487716198	5.088434219	1
9	1281	1.611588955	4.317351341	1
9	1289	-0.2009230405	2.139488697	2
9	1297	0.9839150906	0.2887923121	2
9	1305	1.901068807	-0.3657622933	2
9	1313	3.079936028	-0.3975038826	1
9	1321	0.04955327511	1.352726698	1
9	1329	0.8188580871	-0.546777904	2
9	1337	1.194684982	-0.02352195978	2
9	1345	1.306747437	0.7036909461	1
9	1353	1.076894283	-0.09558528662	1
9	1361	0.7431681156	-0.7448019981	1
9	1369	0.8065767288	-1.339504957	1
9	1377	1.081513882	3.201228142	1
9	1385	1.229114056	1.023815155	1
9	1393	1.275640965	-0.4063826501	1
9	1401	1.095320702	-0.7271820307	1
9	1409	1.088482618	-0.2610414326	1
9	1417	0.9486391544	0.4618129134	1
9	1425	0.9015623331	0.04684358835	1
9	1433	1.047447205	-0.8351006508	1
9	1441	1.010027409	-0.5476157069	1
9	1449	1.1478194	-1.541697502	1
9	1457	1.394769192	0.07300633192	1
9	1465	1.428392529	-0.05076917261	1
9	1473	1.08713007	3.256231785	1
9	1481	0.9724091291	4.134250164	1
9	1489	1.157927275	6.352817535	1
9	1497	1.128593326	2.661598682	1
9	1505	0.98851192	2.250863791	1
9	1513	0.9400969744	0.519161284	1
9	1521	1.062149525	2.242388964	1
9	1529	1.280580282	2.090612173	1
9	1537	1.458899021	-0.6782613993	1
9	1545	1.445222139	0.03243923187	1
9	1553	1.369473577	1.935844898	1
9	1561	1.247989416	3.955758095	1
9	1569	1.09074986	5.535981655	1
9	1577	0.9716422558	4.63136816	1
9	1585	0.7679332495	-1.334818125	1
9	1593	1.37961936	1.044743061	1
9	1601	2.134924412	0.719389379	1
9	1609	0.450506568	-0.07097449899	2
9	1617	-1.809337854	-0.8482794762	1
9	1625	-0.2047843933	-0.1919073164	2
9	1633	0.3793851733	0.2300606072	2
9	1641	0.5241727829	0.9405731559	2
9	1649	0.3376363218	1.536099792	2
9	1657	-0.405510813	1.395854831	2
9	1665	-2.451714993	0.8571250439	1
9	1673	-1.369292378	-0.224513635	2
9	1681	-2.499964237	-1.677769184	1
9	1689	-2.762595654	-1.22864306	1
9	1697	-3.143301487	-1.199208498	1
9	1705	-0.8135313392	-0.153876856	2
9	1713	0.005714749452	0.2293113619	2
9	1721	0.2000258863	0.2774904966	2
9	1729	-0.02332275547	0.158609271	2
9	1737	-0.9408323765	-0.2921625972	2
9	1745	-3.44082737	-1.427419066	1
9	1753	-3.451350927	-1.515224218	1
9	1761	-3.43643856	-1.55772531	1
9	1769	-1.134364963	-1.740157485	2
9	1777	-0.1371859908	-2.62340045	2
9	1785	0.2883723378	-2.600600004	2
9	1793	0.5401408076	-1.666559696	2
9	1801	0.6733267903	-0.9721722007	2
9	1809	0.7371062636	-0.5297227502	2
9	1817	0.754398644	-0.3078945279	2
9	1825	0.7308744192	-0.2364516556	2
