PIVlab, ASCII chart output - 05-Dec-2023
FRAME: 13036, filenames: A: 013035_013035.png & B: 013036_013035.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px]	y [px]	u [px/frame]	v [px/frame]	Vector type [-]
9	9	-3.286209822	-1.125745296	2
9	17	-3.292313337	-1.196436644	2
9	25	-3.152591228	-1.183249831	2
9	33	-2.696906805	-1.002069354	2
9	41	-1.509059906	-0.4995181859	2
9	49	-0.6049213409	-0.1332716942	2
9	57	-0.3186234236	-0.0245591104	2
9	65	-0.3335553706	-0.1015470624	2
9	73	-0.5660248399	-0.4365325868	2
9	81	-1.266913652	-1.424304247	2
9	89	-3.254036665	-0.7327876687	1
9	97	-3.248931408	-1.154678345	1
9	105	-3.330821991	-1.527600884	1
9	113	-3.364132166	-1.504263878	1
9	121	-3.263822317	-0.9997376204	1
9	129	-1.25667727	-1.745251417	2
9	137	-0.5566076636	-1.173980117	2
9	145	-0.2598510385	-0.6371244788	2
9	153	-0.1238340959	-0.2969771028	2
9	161	-0.06674913317	-0.1168244332	2
9	169	-0.05095245317	-0.03474324197	2
9	177	-0.05888657644	-0.01165511087	2
9	185	-0.09005092084	-0.02629292198	2
9	193	-0.1561680585	-0.07627642155	2
9	201	-0.2852527201	-0.1724358052	2
9	209	-0.5358825326	-0.3483315706	2
9	217	-1.02996707	-0.6830157042	2
9	225	-2.068107843	-1.382234573	1
9	233	-2.036160469	-1.39621973	1
9	241	-0.8080807328	-0.4877856672	2
9	249	-0.3906792104	-0.1642524153	2
9	257	-0.3229812086	-0.07642031461	2
9	265	-0.4980454445	-0.1527147591	2
9	273	-1.139801025	-0.475271076	2
9	281	-2.972842932	-1.346853495	1
9	289	-3.088103533	-1.47459662	1
9	297	-3.24671793	-1.552642226	1
9	305	-3.333150148	-1.546333313	1
9	313	-1.356582165	-0.5871776342	2
9	321	-0.7284775972	-0.2715808451	2
9	329	-0.7958567142	-0.2885716558	2
9	337	-1.607447982	-0.6336612105	2
9	345	-3.960524082	-1.625570178	1
9	353	-2.694774628	-0.673469305	2
9	361	-4.06357336	-0.5843234658	1
9	369	-4.123991966	-2.65803051	1
9	377	-1.449265242	-1.070546746	2
9	385	-0.1774780452	-0.5460639	1
9	393	0.03044164181	0.1759361178	1
9	401	0.1301020831	0.2301715314	2
9	409	0.3582351804	0.2290290594	1
9	417	0.3781639934	0.02643598616	1
9	425	1.055131912	0.6564712524	1
9	433	0.4569274187	0.4991473854	2
9	441	1.449470043	0.4612108767	1
9	449	0.8468961716	1.008858681	1
9	457	0.6516296864	0.3851798773	1
9	465	0.3753714561	0.4490442276	1
9	473	0.3888645172	1.103499174	1
9	481	0.6011521816	-0.100638628	1
9	489	0.5207335949	2.827203751	1
9	497	-0.2782611549	0.6493421793	2
9	505	0.04410421848	0.8737879992	1
9	513	0.3580893278	0.9866786003	1
9	521	0.3444697261	1.034931898	1
9	529	0.1458319426	1.03040123	1
9	537	0.1284213364	1.223273277	1
9	545	0.2060365081	0.4310830832	1
9	553	0.2152811289	-0.01650118828	1
9	561	0.1040270925	0.4005702734	1
9	569	0.002756237984	1.061684012	1
9	577	-0.04606486857	1.427657366	1
9	585	-0.03167739511	0.9018493891	1
9	593	0.0326783061	-0.163369894	1
9	601	0.1119720936	-0.03884577751	1
9	609	0.1740268469	1.049625278	1
9	617	0.07436317205	1.907531977	1
9	625	-0.2352596223	2.88043642	1
9	633	-0.2223185897	2.292337418	1
9	641	-0.03953079879	1.69265604	1
9	649	0.1062860936	1.437942743	1
9	657	0.07106626034	1.408560395	1
9	665	0.001768648624	1.508749127	1
9	673	-0.02782122791	1.197356701	1
9	681	-0.1129218638	-0.7642655373	1
9	689	-0.1467227936	0.8723518848	1
9	697	-0.1507125497	0.852101326	1
9	705	0.09201785922	1.572768807	1
9	713	-0.09609919786	1.871884704	1
9	721	-0.6287778616	0.8122367859	1
9	729	-0.6888002157	2.439623117	1
9	737	-0.3774843216	4.182447433	1
9	745	-0.09332245588	6.156243801	1
9	753	0.1309812218	6.928740978	1
9	761	-0.0746550113	5.949352264	1
9	769	-0.1400661916	2.866177559	1
9	777	0.06484740973	2.245569229	1
9	785	0.2138636112	1.612633824	1
9	793	0.1528737247	1.954995155	1
9	801	-0.13827613	2.191589117	1
9	809	-0.1705839038	3.006071568	1
9	817	0.09788823128	3.668619633	1
9	825	0.3320279121	4.460704803	1
9	833	0.5636593103	4.374908447	1
9	841	0.3484499454	3.925346851	1
9	849	-0.08228862286	3.98409605	1
9	857	-0.1254836321	4.578323841	1
9	865	0.005819559097	5.077656269	1
9	873	0.009492874146	5.593124866	1
9	881	-0.1057322621	3.452806234	1
9	889	0.08374869078	3.725678921	2
9	897	0.09005004168	2.886486769	1
9	905	-0.001385629177	2.049710035	1
9	913	-0.06353713572	1.958400965	1
9	921	0.07740199566	3.63164258	1
9	929	0.2522040606	8.755586624	1
9	937	-0.03803645819	7.587937355	1
9	945	-0.5123333931	8.745516777	1
9	953	-0.3269538879	9.779647827	1
9	961	0.36307621	10.16387844	1
9	969	0.1950392723	9.302906036	1
9	977	0.136950016	9.265452385	1
9	985	0.719171524	8.173452377	1
