PIVlab, ASCII chart output - 05-Dec-2023
FRAME: 13031, filenames: A: 013030_013030.png & B: 013031_013030.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px]	y [px]	u [px/frame]	v [px/frame]	Vector type [-]
9	9	-5.334206104	1.035633326	1
9	17	-3.844721317	-1.427890301	1
9	25	-3.323769569	-1.502712965	2
9	33	-2.942967415	-1.925135374	1
9	41	-3.082244873	-1.617092371	1
9	49	-3.315989494	-1.37676239	1
9	57	-3.426416636	-1.508370638	1
9	65	-3.343913078	-1.743607879	1
9	73	-3.14741683	-1.288277864	1
9	81	-2.931027651	-0.3961791992	1
9	89	-2.79481101	-0.3369528055	1
9	97	-2.775873661	-1.114862919	1
9	105	-2.843970537	-1.470056176	1
9	113	-2.873797655	-1.187459588	1
9	121	-2.668494225	-1.118338585	1
9	129	-2.504364491	-1.345735192	1
9	137	-3.091597319	-1.170728564	1
9	145	-1.177206397	-2.43626833	2
9	153	-0.7103815675	-2.838373423	2
9	161	-1.196506619	-2.665898085	2
9	169	-3.203686237	-1.538189292	1
9	177	-2.636692524	-1.865874767	1
9	185	-1.924336195	-2.423246384	1
9	193	-1.326371193	-3.015408516	1
9	201	-1.637527704	-2.897223234	1
9	209	-2.671658278	-2.166058064	1
9	217	-3.276055813	-1.753810763	1
9	225	-3.162100792	-1.858731508	1
9	233	-2.934285164	-1.925076008	1
9	241	-2.897992611	-1.763667822	1
9	249	-3.01708746	-1.58084023	1
9	257	-3.173000574	-1.494544983	1
9	265	-3.187347412	-1.515209913	1
9	273	-3.060432434	-1.60842514	1
9	281	-2.969722748	-1.702031374	1
9	289	-2.997821093	-1.779163003	1
9	297	-3.124047041	-1.879939318	1
9	305	-3.311263084	-2.045458555	1
9	313	-0.9718116522	-1.40540576	2
9	321	-0.3840714395	-1.389860153	2
9	329	-0.9241474271	-1.62104702	2
9	337	-3.161741495	-2.540868282	1
9	345	-2.768901825	-2.7118783	1
9	353	-2.414221764	-3.022013903	1
9	361	-1.112529874	-1.787365317	2
9	369	-1.826979041	-1.35732913	1
9	377	0.2878650427	-1.077201009	2
9	385	1.734171629	-1.577288389	1
9	393	0.713968873	-3.216221571	1
9	401	0.8239299655	-1.558598995	2
9	409	0.9317793846	-1.828952312	1
9	417	3.899648666	0.5269799232	1
9	425	3.391795635	1.642636657	1
9	433	2.837478638	-0.3304062188	1
9	441	2.149661541	-2.017106295	1
9	449	2.298248291	-3.865783453	1
9	457	1.06513679	-0.7730555534	2
9	465	0.5958112478	-0.225765422	2
9	473	-0.473195076	0.5306041241	1
9	481	1.013544083	-0.3182980418	1
9	489	1.080153346	-0.8349758983	2
9	497	2.756006718	-0.2495063543	1
9	505	3.36303997	1.309327841	1
9	513	1.955153465	0.7367833257	1
9	521	1.283898592	-1.466816545	1
9	529	0.7284083366	-1.390627027	1
9	537	1.023853064	1.839935184	1
9	545	1.10576129	0.4839949608	1
9	553	0.9964604378	-1.134639263	1
9	561	0.9240475893	0.6673541069	1
9	569	1.020569205	1.313554287	1
9	577	0.9871072769	1.45546031	1
9	585	0.9987515211	1.49051857	1
9	593	0.8975666761	2.025749207	1
9	601	0.8470151424	3.523685932	1
9	609	1.160314322	3.993047714	1
9	617	1.100626469	2.418084383	1
9	625	0.9109528065	-0.1134142876	1
9	633	0.8968913555	0.4877114296	1
9	641	0.7515513897	1.545426965	1
9	649	0.9932217598	2.622041225	1
9	657	1.138095617	1.09968257	1
9	665	1.20719099	2.038530588	1
9	673	1.237639427	2.974006414	1
9	681	1.085602999	2.929955482	1
9	689	0.7059214115	2.806940079	1
9	697	0.8390183449	0.01747012138	1
9	705	1.257933617	2.798292875	1
9	713	1.140059233	4.728274822	1
9	721	0.6438825727	5.102924347	1
9	729	0.8342878819	5.021176815	1
9	737	1.301941395	5.015564442	1
9	745	1.252600908	4.626412392	1
9	753	0.8838450909	4.399979591	1
9	761	0.5708813667	4.156757355	1
9	769	0.7019316554	3.888631582	2
9	777	0.743414402	3.438344002	1
9	785	0.2036144733	4.965776443	1
9	793	0.288811326	5.200534821	1
9	801	0.7817924023	5.200721741	1
9	809	1.589967489	5.075204849	1
9	817	1.104139566	5.253383636	1
9	825	1.277913809	5.551126003	1
9	833	1.356690407	5.873314857	1
9	841	1.387936115	6.036673546	1
9	849	1.367174625	5.739816666	1
9	857	1.113090992	5.78019762	1
9	865	0.5939941406	6.80218792	1
9	873	0.1416621208	8.604307175	1
9	881	0.2378718853	11.45016575	1
9	889	0.9475603104	12.4577837	1
9	897	1.789116859	12.13848019	1
9	905	2.947089672	11.77041245	1
9	913	3.047654629	12.48976326	1
9	921	3.111027241	12.45544243	1
9	929	1.136037946	11.0520792	2
9	937	1.689892769	10.351758	2
9	945	5.188597679	9.561800957	1
9	953	5.786360741	10.66639423	1
9	961	5.746795654	11.32965088	1
9	969	5.771927834	9.074007034	1
9	977	6.597438812	9.722863197	1
9	985	5.339806557	10.9629488	2
9	993	8.895187378	13.03743744	1
9	1001	10.31975174	9.221125603	1
9	1009	7.162562847	9.018497467	2
9	1017	8.229431152	8.341480255	1
9	1025	8.904963493	9.025397301	1
9	1033	4.495508671	8.310415268	2
9	1041	3.204130888	7.486690521	2
9	1049	1.827614784	6.688744068	2
9	1057	2.279096603	5.760094166	2
9	1065	3.490844965	5.95290184	2
9	1073	5.010752678	5.504002094	1
9	1081	1.575606346	8.115598679	1
9	1089	-0.3174214363	5.945380211	1
9	1097	3.996035576	4.949420929	1
9	1105	6.655349731	4.17382431	2
9	1113	15.81873894	3.823997021	1
9	1121	15.68314171	2.313122749	1
9	1129	9.84101963	2.280585289	2
9	1137	7.155190468	-0.316046983	2
9	1145	11.17498684	-3.239943504	1
9	1153	13.29959393	-0.7488546371	1
9	1161	15.04269409	2.177976847	1
9	1169	14.78589249	0.07079315186	1
9	1177	14.29413986	-0.1309270859	1
9	1185	7.974144936	0.783782959	2
9	1193	4.437413216	1.424807668	2
9	1201	3.040577412	3.477748394	1
9	1209	-3.893841743	2.904163361	1
9	1217	-4.771193981	2.060720682	2
9	1225	-5.612230301	1.937563181	1
9	1233	-6.331852913	2.468245029	1
9	1241	-6.068031311	1.168083668	1
9	1249	-5.820046425	-2.787134171	1
9	1257	-5.825769424	-3.341756821	1
9	1265	-6.590862274	-2.399136066	1
9	1273	-9.322784424	-0.8345403075	1
9	1281	-7.839769363	-2.8624053	1
9	1289	-4.581736565	-2.864916801	1
9	1297	-2.290787458	-1.337104797	2
9	1305	2.333827972	-1.219694614	1
9	1313	-0.2900934219	-0.2389007807	1
9	1321	-1.767161369	2.104980469	1
9	1329	-2.648535252	0.7408092022	1
9	1337	-0.5607452393	-0.1786542535	1
9	1345	0.2426620722	-1.325119972	1
9	1353	1.556486964	2.637723446	1
9	1361	0.7936936021	0.4197655916	1
9	1369	0.635710001	-0.3508659601	1
9	1377	0.8784330487	0.8993167281	2
9	1385	1.376739264	0.6310993433	1
9	1393	1.310744762	-0.2485871315	1
9	1401	1.185624838	-0.5049279332	1
9	1409	1.18823266	-0.4999713302	1
9	1417	0.9888243675	0.1754227281	1
9	1425	0.9363100529	1.359900594	1
9	1433	0.898588717	0.8883838654	1
9	1441	0.9692070484	0.890889883	1
9	1449	1.192463875	0.04659381509	1
9	1457	1.359832048	0.4298769236	1
9	1465	1.323150873	1.018368483	1
9	1473	1.124943852	3.394052982	1
9	1481	1.022900939	4.4119277	1
9	1489	1.063635826	4.654706955	1
9	1497	0.9864364266	4.131597996	1
9	1505	0.8501598835	0.407276988	1
9	1513	0.903010428	0.0001127123833	1
9	1521	1.149855733	2.190718174	1
9	1529	1.32052815	2.975170612	1
9	1537	1.327460289	3.435308933	1
9	1545	1.462163925	2.935300112	1
9	1553	1.751897097	2.574066162	1
9	1561	1.633947134	2.333133221	1
9	1569	1.182758451	2.347922802	1
9	1577	0.9987897873	1.836992502	1
9	1585	1.031105518	3.201758146	2
9	1593	1.106462717	3.908285618	1
9	1601	1.222534895	1.45968616	1
9	1609	0.8405623436	0.2337852716	2
9	1617	0.2813315988	-0.4560304284	2
9	1625	-1.018729448	-1.376472592	1
9	1633	-1.221274853	-1.233748674	1
9	1641	-2.006429672	-0.1702635288	1
9	1649	-0.2890680134	0.8180033565	2
9	1657	0.2755157053	0.9679854512	2
9	1665	0.2393124253	0.7057530284	2
9	1673	-0.4132570028	0.2095354348	2
9	1681	-2.379639626	-0.3625327051	1
9	1689	-2.746064425	-1.128144383	1
9	1697	-3.155672073	-1.158718824	1
9	1705	-0.7947831154	-0.07484271377	2
9	1713	0.07990545779	0.3567181826	2
9	1721	0.4155306518	0.4601132274	2
9	1729	0.5576313734	0.501743257	2
9	1737	0.5872611403	0.4802521169	2
9	1745	0.5672370195	0.5280376673	2
9	1753	0.5910775661	0.6797728539	2
9	1761	0.6004373431	0.9227787256	2
9	1769	0.6843288541	0.627176702	2
9	1777	0.7469569445	0.3971366286	2
9	1785	0.7861787081	0.226333499	2
9	1793	0.8093511462	0.1194281504	2
9	1801	0.8209105134	0.02395161986	2
9	1809	0.8278515935	-0.004152187146	2
9	1817	0.8288130164	-0.03031882644	2
9	1825	0.8316192627	-0.04833159223	2
9	1833	0.8382015228	-0.05500332266	2
9	1841	0.8398256898	-0.05269835517	2
9	1849	0.828276515	-0.0445128791	2
9	1857	0.7929807305	-0.03829748556	2
9	1865	0.7279983163	-0.02137953229	2
9	1873	0.6517152786	0.02278994955	2
9	1881	0.6400049329	0.1514457315	2
9	1889	0.6340683699	0.2888053358	2
9	1897	0.6195283532	0.3906066716	2
9	1905	0.5874900818	0.5278688073	2
9	1913	0.5264561772	0.7448827028	2
9	1921	0.4307796657	1.032444596	2
9	1929	0.3337252438	1.106456876	2
9	1937	0.1711369902	0.6525195837	2
9	1945	-0.06391083449	0.2260543853	2
9	1953	-0.480707705	-0.01000724919	2
9	1961	-1.453716278	-0.434286505	2
9	1969	-2.766949892	-0.9369029999	2
9	1977	-3.532755613	-1.074967384	1
9	1985	-3.272838354	-1.292105556	2
9	1993	-3.140417576	-1.339879274	1
9	2001	-3.070552826	-1.37545383	1
9	2009	-3.037806988	-1.415141344	1
9	2017	-3.02468729	-1.445238352	1
9	2025	-3.066045284	-1.376291394	1
9	2033	-3.19900775	-1.115553498	1
9	2041	-3.41201067	-0.6873522997	2
9	2049	-3.888254166	0.3522825241	1
17	9	-4.360902786	-0.611395359	1
17	17	-3.556107521	-0.9977046251	1
17	25	-3.183620214	-1.155113339	1
17	33	-3.102761745	-1.164091825	1
17	41	-3.172852755	-1.105109692	1
17	49	0.02661919594	0.1505951881	1
17	57	0.1133409142	0.1412005424	1
17	65	0.2573699355	0.0934510231	1
17	73	0.3572769761	0.3000679314	1
17	81	0.3875703216	-2.833865166	1
17	89	0.4036724567	-2.838068962	1
17	97	0.4210315943	-3.043100357	1
17	105	0.42100209	-3.091764927	1
17	113	0.4139660597	-2.959166288	1
17	121	0.4338394403	-2.955968618	1
17	129	0.4544288516	-3.129346132	1
17	137	0.3901513815	-3.256448269	1
17	145	0.2703596354	-3.29970336	1
17	153	0.2425683737	-3.412953615	1
17	161	0.3245480061	-3.621131659	1
17	169	0.4063298702	-3.815855503	1
17	177	0.460157454	-3.978903055	1
17	185	0.5328768492	-4.182627201	1
17	193	0.5998821259	-4.375667095	1
17	201	0.569427371	-4.387701988	1
17	209	0.4606230855	-4.248329163	1
17	217	0.4051819444	-4.185412884	1
17	225	0.4288338423	-4.269926548	1
17	233	0.8102599382	-1.393422127	1
17	241	0.8648691177	-0.916170001	1
17	249	0.8198956847	-1.295961142	1
17	257	0.8279406428	-1.277130604	1
17	265	0.829439342	-1.343357205	1
17	273	0.8306900859	-1.274525762	1
17	281	0.8345610499	-1.378921986	1
17	289	0.8307141066	-1.233070135	1
17	297	0.8015728593	-1.220669508	1
17	305	0.7683244944	-1.140877843	1
17	313	0.7798995972	-0.7808986902	1
17	321	0.7437447309	-1.143127799	1
17	329	0.7733706236	-0.9324124455	1
17	337	0.7723706961	-0.9717183113	1
17	345	0.8166500926	-0.8772162199	1
17	353	0.9354028702	-0.5884891152	1
17	361	0.9036110044	-0.9827528596	1
17	369	0.8905687928	-0.710211277	1
17	377	0.9564025402	-0.2969853878	1
